"ts","orig_h","resp_h","proto","query","qtype_name","answers","community_id"
"2026-02-12 23:44:26.060","10.1.2.12","8.8.8.8","udp","c.2.b.d.4.5.e.f.f.f.a.8.6.7.e.2.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa","PTR","","1:rL9mNEeVlw1fNeyrnjGnbVw7aLo="
"2026-02-12 23:44:25.983","10.1.2.12","8.8.8.8","udp","honeypot","AAAA","","1:1hogV1JLo6QvMZM31cv2lOu48RA="
"2026-02-12 23:44:25.945","10.1.2.12","8.8.8.8","udp","honeypot","A","","1:GFYXWvIzfo39Fak4SZEEktn0rkI="
"2026-02-12 23:44:25.875","10.1.2.12","8.8.8.8","udp","c.2.b.d.4.5.e.f.f.f.a.8.6.7.e.2.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa","PTR","","1:Shj4ovp3vZ7AfO0NyZS6ZHjPJN4="
"2026-02-12 23:44:25.837","10.1.2.12","8.8.8.8","udp","c.2.b.d.4.5.e.f.f.f.a.8.6.7.e.2.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa","PTR","","1:84tpEECUxDKJC2Us1e72vFi+F6Q="
"2026-02-12 23:44:25.762","10.1.2.12","8.8.8.8","udp","honeypot","AAAA","","1:T/d0IZtLqSeruyUsTtgJZAyBza0="
"2026-02-12 23:44:25.725","10.1.2.12","8.8.8.8","udp","honeypot","A","","1:wY5gXfM1uMemK3e+QF/3vO0qNVU="
"2026-02-12 23:44:25.655","10.1.2.12","8.8.8.8","udp","c.2.b.d.4.5.e.f.f.f.a.8.6.7.e.2.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa","PTR","","1:F7UFt7liqUWLhC3F8v1VpyqtjSw="
"2026-02-12 23:44:25.617","10.1.2.12","8.8.8.8","udp","c.2.b.d.4.5.e.f.f.f.a.8.6.7.e.2.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa","PTR","","1:LQhAV2/W47yVdcH6czNqe3y5dFI="
"2026-02-12 23:44:25.542","10.1.2.12","8.8.8.8","udp","honeypot","AAAA","","1:ZJZg0kpz+Z76xhs7Rf78Aq9UBSI="
"2026-02-12 23:44:25.503","10.1.2.12","8.8.8.8","udp","honeypot","A","","1:jTnKeLx8RunEQmPjH8mu/F5+SC4="
"2026-02-12 23:44:25.433","10.1.2.12","8.8.8.8","udp","c.2.b.d.4.5.e.f.f.f.a.8.6.7.e.2.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa","PTR","","1:9HFynLrcxwzBeyyzpuUj4eOg4xA="
"2026-02-12 23:44:25.395","10.1.2.12","8.8.8.8","udp","c.2.b.d.4.5.e.f.f.f.a.8.6.7.e.2.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa","PTR","","1:U5x8H1UNs0xtrn1Aaajn02JfiEA="
"2026-02-12 23:44:25.318","10.1.2.12","8.8.8.8","udp","honeypot","AAAA","","1:jXcwlYpn00SfyNcwSquR4ivPEJE="
"2026-02-12 23:44:25.279","10.1.2.12","8.8.8.8","udp","honeypot","A","","1:SrI2B2kKeSBEFo/+lbHAkUE35v8="
"2026-02-12 23:44:25.208","10.1.2.12","8.8.8.8","udp","c.2.b.d.4.5.e.f.f.f.a.8.6.7.e.2.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa","PTR","","1:9/er/oxD4itBnV4SFzUD1KQ7Suw="
"2026-02-12 23:44:25.167","10.1.2.12","8.8.8.8","udp","c.2.b.d.4.5.e.f.f.f.a.8.6.7.e.2.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa","PTR","","1:klNnoHKUVDO1j5Cl3iVOQZKvtlw="
"2026-02-12 23:44:25.093","10.1.2.12","8.8.8.8","udp","honeypot","AAAA","","1:89SEMENCpgpprql7WaZtyXVXq+s="
"2026-02-12 23:44:25.055","10.1.2.12","8.8.8.8","udp","honeypot","A","","1:aFRXJ97u1x2Jyhpt3eHx79G1cZM="
"2026-02-12 23:44:24.986","10.1.2.12","8.8.8.8","udp","c.2.b.d.4.5.e.f.f.f.a.8.6.7.e.2.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa","PTR","","1:DZY1ENrc3R5+cWhwX2LS73IK8N0="
"2026-02-12 23:44:24.947","10.1.2.12","8.8.8.8","udp","c.2.b.d.4.5.e.f.f.f.a.8.6.7.e.2.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa","PTR","","1:YPNvg3DLI+ZkdW1qwZhVWPT/NTc="
"2026-02-12 23:44:24.871","10.1.2.12","8.8.8.8","udp","honeypot","AAAA","","1:EiaULfUtI6L0m3IQbjkOOFt4GXw="
"2026-02-12 23:44:24.832","10.1.2.12","8.8.8.8","udp","honeypot","A","","1:rjradYT80mT2ziuQLGiY5cGh9ZM="
"2026-02-12 23:44:24.760","10.1.2.12","8.8.8.8","udp","c.2.b.d.4.5.e.f.f.f.a.8.6.7.e.2.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa","PTR","","1:+Pey+3rlu/kh75oNyuMlc8wmA0E="
"2026-02-12 23:44:24.720","10.1.2.12","8.8.8.8","udp","c.2.b.d.4.5.e.f.f.f.a.8.6.7.e.2.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa","PTR","","1:hsjL+MEmdEDHWSLqOz/P098UmVo="
"2026-02-12 23:44:24.646","10.1.2.12","8.8.8.8","udp","honeypot","AAAA","","1:ttcW56j3IvMmxvO4qECtWZrE+EQ="
"2026-02-12 23:44:24.607","10.1.2.12","8.8.8.8","udp","honeypot","A","","1:TM2dB+pRQjti7OLr1Q7+HAxBKLw="
"2026-02-12 23:44:24.533","10.1.2.12","8.8.8.8","udp","c.2.b.d.4.5.e.f.f.f.a.8.6.7.e.2.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa","PTR","","1:bmszOEQ9jvn8Wmrp0MkBlPAKUV4="
"2026-02-12 23:44:24.494","10.1.2.12","8.8.8.8","udp","c.2.b.d.4.5.e.f.f.f.a.8.6.7.e.2.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa","PTR","","1:PNA1aaZXV3VuKyYNhr1U0T7BLBA="
"2026-02-12 23:44:24.419","10.1.2.12","8.8.8.8","udp","honeypot","AAAA","","1:G6URVPLxcQ7QjQvaeB+a1O30GV4="
"2026-02-12 23:44:24.381","10.1.2.12","8.8.8.8","udp","honeypot","A","","1:njTGyIdg2wH59u10yRLdYMCPb6E="
"2026-02-12 23:43:11.287","10.1.2.12","8.8.8.8","udp","community.sicherheitstacho.eu","AAAA","","1:2oWsX3uQES5gv2zLEufNbISo3lM="
"2026-02-12 23:43:11.287","10.1.2.12","8.8.8.8","udp","community.sicherheitstacho.eu","A","160.44.201.156","1:tH2wev4rpzxoBKzDrpZt4msJJcc="
"2026-02-12 23:43:09.609","10.1.2.12","8.8.8.8","udp","community.sicherheitstacho.eu","A","160.44.201.156","1:QT7II4cLoeS5dMPYpnWMu6U2EMk="
"2026-02-12 23:43:09.609","10.1.2.12","8.8.8.8","udp","community.sicherheitstacho.eu","AAAA","","1:msh+695YVC1mTzXk2jTst06PxYE="
"2026-02-12 23:43:06.944","10.1.2.12","8.8.8.8","udp","community.sicherheitstacho.eu","A","160.44.201.156","1:nki6MsHIPNYbpuiY7opUsKc53+c="
"2026-02-12 23:43:06.944","10.1.2.12","8.8.8.8","udp","community.sicherheitstacho.eu","AAAA","","1:Uptja0Vw2+7fNGA/pn8yPwbQSBQ="
"2026-02-12 23:43:04.771","10.1.2.12","8.8.8.8","udp","community.sicherheitstacho.eu","A","160.44.201.156","1:dNG2R1j/6+6Ehz+6t0lnWrhm7EI="
"2026-02-12 23:43:04.771","10.1.2.12","8.8.8.8","udp","community.sicherheitstacho.eu","AAAA","","1:sXiQuOjDWlI9NJWt6tmzAQJ7DCM="
"2026-02-12 23:42:52.102","10.1.2.12","8.8.8.8","udp","community.sicherheitstacho.eu","AAAA","","1:WYWJ4/YVL4/3H5GDUWbXM0B+Jm8="
"2026-02-12 23:42:52.102","10.1.2.12","8.8.8.8","udp","community.sicherheitstacho.eu","A","160.44.201.156","1:nhBsQh5WEmY+/ereXz6g/7BQyi8="
"2026-02-12 23:42:34.682","10.1.2.12","8.8.8.8","udp","community.sicherheitstacho.eu","A","160.44.201.156","1:COSqoybj5DmEn6G8lsAp3mDv2ZM="
"2026-02-12 23:42:34.682","10.1.2.12","8.8.8.8","udp","community.sicherheitstacho.eu","AAAA","","1:3KZ7E9/evEMpGWR9Nvom5MEsldY="
"2026-02-12 23:42:26.100","10.1.2.12","8.8.8.8","udp","c.2.b.d.4.5.e.f.f.f.a.8.6.7.e.2.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa","PTR","","1:BJGI/sbA+/18Yb6AZ1gro+/Ko0E="
"2026-02-12 23:42:26.062","10.1.2.12","8.8.8.8","udp","c.2.b.d.4.5.e.f.f.f.a.8.6.7.e.2.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa","PTR","","1:7eDaei/7/dgPuKdCeW1X1Fzrd4A="
"2026-02-12 23:42:25.985","10.1.2.12","8.8.8.8","udp","honeypot","AAAA","","1:eBNKGyQ4mKFMWEVPutkpORtxJlg="
"2026-02-12 23:42:25.947","10.1.2.12","8.8.8.8","udp","honeypot","A","","1:mW9Bu2nrW6Vo31+rHMkROM14DKU="
"2026-02-12 23:42:25.877","10.1.2.12","8.8.8.8","udp","c.2.b.d.4.5.e.f.f.f.a.8.6.7.e.2.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa","PTR","","1:TAO7XyaNH4PTnE8FO4FRTUFIAW4="
"2026-02-12 23:42:25.837","10.1.2.12","8.8.8.8","udp","c.2.b.d.4.5.e.f.f.f.a.8.6.7.e.2.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa","PTR","","1:xgTwEZi3LSQ1RFuG/tqJT5mvpIw="
"2026-02-12 23:42:25.762","10.1.2.12","8.8.8.8","udp","honeypot","AAAA","","1:okxokbkaIzHHDnRC9iceHR5e0ic="
"2026-02-12 23:42:25.723","10.1.2.12","8.8.8.8","udp","honeypot","A","","1:7P/surQs03zlZKiRQOexiWQ/KE8="
"2026-02-12 23:42:25.651","10.1.2.12","8.8.8.8","udp","c.2.b.d.4.5.e.f.f.f.a.8.6.7.e.2.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa","PTR","","1:FwXv3YoiAX+lWU44afHfVa+RTwo="
"2026-02-12 23:42:25.613","10.1.2.12","8.8.8.8","udp","c.2.b.d.4.5.e.f.f.f.a.8.6.7.e.2.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa","PTR","","1:09dF1N+GMNFoiBZlVm5/hTrqpsA="
"2026-02-12 23:42:25.537","10.1.2.12","8.8.8.8","udp","honeypot","AAAA","","1:QFHYEQTTzTtnDwhf9RrPu7thXR8="
"2026-02-12 23:42:25.498","10.1.2.12","8.8.8.8","udp","honeypot","A","","1:ZBUVAh6eq1KOiU1zO+xHPC9Ohps="
"2026-02-12 23:42:25.427","10.1.2.12","8.8.8.8","udp","c.2.b.d.4.5.e.f.f.f.a.8.6.7.e.2.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa","PTR","","1:byeMmRu1EXMnMmtgey4ZpEyqSxE="
"2026-02-12 23:42:25.388","10.1.2.12","8.8.8.8","udp","c.2.b.d.4.5.e.f.f.f.a.8.6.7.e.2.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa","PTR","","1:gR+wDE+WA4642MIQmEHt047Bmw4="
"2026-02-12 23:42:25.313","10.1.2.12","8.8.8.8","udp","honeypot","AAAA","","1:Le/s2cYjcIayzxz3yJnuvbwYVsQ="
"2026-02-12 23:42:25.276","10.1.2.12","8.8.8.8","udp","honeypot","A","","1:TjjoMPYOittRANzofj/MZ9IfV3w="
"2026-02-12 23:42:25.202","10.1.2.12","8.8.8.8","udp","c.2.b.d.4.5.e.f.f.f.a.8.6.7.e.2.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa","PTR","","1:/YIPOJ97xlD9HcCLAHwubEfZOAo="
"2026-02-12 23:42:25.163","10.1.2.12","8.8.8.8","udp","c.2.b.d.4.5.e.f.f.f.a.8.6.7.e.2.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa","PTR","","1:VgCfwLikYcWTfFdyPJzZ/oCnN4o="
"2026-02-12 23:42:25.089","10.1.2.12","8.8.8.8","udp","honeypot","AAAA","","1:3l9qYoCfnhw6N15sGzsIHryvDjM="
"2026-02-12 23:42:25.051","10.1.2.12","8.8.8.8","udp","honeypot","A","","1:DZbSML6KQSUF/WWh04KqmRxCmC8="
"2026-02-12 23:42:24.980","10.1.2.12","8.8.8.8","udp","c.2.b.d.4.5.e.f.f.f.a.8.6.7.e.2.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa","PTR","","1:HCGNTEMWFGVpR5ajVncJWxi0aRA="
"2026-02-12 23:42:24.942","10.1.2.12","8.8.8.8","udp","c.2.b.d.4.5.e.f.f.f.a.8.6.7.e.2.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa","PTR","","1:TerMhz6C8lP/5XJFOhOmQ4pXnFI="
"2026-02-12 23:42:24.865","10.1.2.12","8.8.8.8","udp","honeypot","AAAA","","1:f8Hbuj3NshCemWS7yVvWBTwYTEs="
"2026-02-12 23:42:24.827","10.1.2.12","8.8.8.8","udp","honeypot","A","","1:svWBdaUehBXzFxvWBiQnf8lPIro="
"2026-02-12 23:42:24.755","10.1.2.12","8.8.8.8","udp","c.2.b.d.4.5.e.f.f.f.a.8.6.7.e.2.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa","PTR","","1:YLOjtq53ZPr4v7ypiSj+9+y+6bY="
