ts,uid,orig_h,orig_p,resp_h,resp_p,proto,query,qtype_name,answers,rcode_name,qclass_name
1767916929.046706,C89taq2Az6nVmPu6kk,,,,,udp,12.2.1.10.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767916929.046706,C89taq2Az6nVmPu6kk,,,,,udp,148.241.92.91.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767916932.728626,C89taq2Az6nVmPu6kk,,,,,udp,148.241.92.91.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767916932.728626,C89taq2Az6nVmPu6kk,,,,,udp,12.2.1.10.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767916936.31961,C89taq2Az6nVmPu6kk,,,,,udp,148.241.92.91.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767916936.31961,C89taq2Az6nVmPu6kk,,,,,udp,12.2.1.10.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767916937.863968,CyfeJF4GetJuQfd3gk,,,,,udp,community.sicherheitstacho.eu,AAAA,,NOERROR,C_INTERNET
1767916937.863958,C4Op1J25vY7T1bs4,,,,,udp,community.sicherheitstacho.eu,A,['160.44.201.156'],NOERROR,C_INTERNET
1767916939.424914,CSis7o4Amkg1KybvC9,,,,,udp,community.sicherheitstacho.eu,AAAA,,NOERROR,C_INTERNET
1767916939.424914,CKfDxtYk8P59puKHh,,,,,udp,community.sicherheitstacho.eu,A,['160.44.201.156'],NOERROR,C_INTERNET
1767916939.767657,C89taq2Az6nVmPu6kk,,,,,udp,12.2.1.10.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767916939.767657,C89taq2Az6nVmPu6kk,,,,,udp,148.241.92.91.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767916940.859907,CiPFeJR4vmR8HZlJ8,,,,,udp,community.sicherheitstacho.eu,AAAA,,NOERROR,C_INTERNET
1767916940.859918,C4WnFq37oTlbaHE41l,,,,,udp,community.sicherheitstacho.eu,A,['160.44.201.156'],NOERROR,C_INTERNET
1767916943.292779,C89taq2Az6nVmPu6kk,,,,,udp,148.241.92.91.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767916943.292779,C89taq2Az6nVmPu6kk,,,,,udp,12.2.1.10.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767916946.929663,C89taq2Az6nVmPu6kk,,,,,udp,12.2.1.10.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767916946.929663,C89taq2Az6nVmPu6kk,,,,,udp,148.241.92.91.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767916950.64954,C89taq2Az6nVmPu6kk,,,,,udp,148.241.92.91.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767916950.64954,C89taq2Az6nVmPu6kk,,,,,udp,12.2.1.10.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767916954.296712,C89taq2Az6nVmPu6kk,,,,,udp,148.241.92.91.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767916954.296712,C89taq2Az6nVmPu6kk,,,,,udp,12.2.1.10.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767916957.928638,C89taq2Az6nVmPu6kk,,,,,udp,12.2.1.10.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767916957.928638,C89taq2Az6nVmPu6kk,,,,,udp,148.241.92.91.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767916961.527643,C89taq2Az6nVmPu6kk,,,,,udp,148.241.92.91.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767916961.527643,C89taq2Az6nVmPu6kk,,,,,udp,12.2.1.10.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767916965.119652,C89taq2Az6nVmPu6kk,,,,,udp,12.2.1.10.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767916965.119652,C89taq2Az6nVmPu6kk,,,,,udp,148.241.92.91.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767916968.643647,C89taq2Az6nVmPu6kk,,,,,udp,12.2.1.10.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767916968.643647,C89taq2Az6nVmPu6kk,,,,,udp,148.241.92.91.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767916972.21467,C89taq2Az6nVmPu6kk,,,,,udp,148.241.92.91.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767916972.21467,C89taq2Az6nVmPu6kk,,,,,udp,12.2.1.10.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767916975.817666,C89taq2Az6nVmPu6kk,,,,,udp,12.2.1.10.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767916975.817666,C89taq2Az6nVmPu6kk,,,,,udp,148.241.92.91.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767916979.293684,C89taq2Az6nVmPu6kk,,,,,udp,12.2.1.10.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767916979.293684,C89taq2Az6nVmPu6kk,,,,,udp,148.241.92.91.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767916982.773668,C89taq2Az6nVmPu6kk,,,,,udp,12.2.1.10.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767916982.773668,C89taq2Az6nVmPu6kk,,,,,udp,148.241.92.91.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767916986.184884,C89taq2Az6nVmPu6kk,,,,,udp,148.241.92.91.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767916986.184884,C89taq2Az6nVmPu6kk,,,,,udp,12.2.1.10.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767916990.000673,C89taq2Az6nVmPu6kk,,,,,udp,12.2.1.10.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767916990.000673,C89taq2Az6nVmPu6kk,,,,,udp,148.241.92.91.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767916990.567651,C89taq2Az6nVmPu6kk,,,,,udp,12.2.1.10.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767916990.567651,C89taq2Az6nVmPu6kk,,,,,udp,226.61.11.185.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767916993.485642,C89taq2Az6nVmPu6kk,,,,,udp,12.2.1.10.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767916993.485642,C89taq2Az6nVmPu6kk,,,,,udp,148.241.92.91.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767916995.142335,CBsKRQ1jw8Hkwdzfql,,,,,udp,community.sicherheitstacho.eu,AAAA,,NOERROR,C_INTERNET
1767916995.142354,CgYLGz4vGOccFBUxZc,,,,,udp,community.sicherheitstacho.eu,A,['160.44.201.156'],NOERROR,C_INTERNET
1767916996.773744,CSnhDE1dW7sAmJbMkj,,,,,udp,community.sicherheitstacho.eu,A,['160.44.201.156'],NOERROR,C_INTERNET
1767916996.773683,C9Jtgd1kOSOPW5JrSi,,,,,udp,community.sicherheitstacho.eu,AAAA,,NOERROR,C_INTERNET
1767916996.858639,C89taq2Az6nVmPu6kk,,,,,udp,12.2.1.10.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767916996.858639,C89taq2Az6nVmPu6kk,,,,,udp,148.241.92.91.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767917000.199626,C89taq2Az6nVmPu6kk,,,,,udp,148.241.92.91.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767917000.199626,C89taq2Az6nVmPu6kk,,,,,udp,12.2.1.10.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767917003.680643,C89taq2Az6nVmPu6kk,,,,,udp,12.2.1.10.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767917003.680643,C89taq2Az6nVmPu6kk,,,,,udp,148.241.92.91.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767917007.438621,C89taq2Az6nVmPu6kk,,,,,udp,12.2.1.10.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767917007.438621,C89taq2Az6nVmPu6kk,,,,,udp,148.241.92.91.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767917011.349691,C89taq2Az6nVmPu6kk,,,,,udp,12.2.1.10.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767917011.349691,C89taq2Az6nVmPu6kk,,,,,udp,148.241.92.91.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767917015.060701,C89taq2Az6nVmPu6kk,,,,,udp,148.241.92.91.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767917015.060701,C89taq2Az6nVmPu6kk,,,,,udp,12.2.1.10.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767917018.598655,C89taq2Az6nVmPu6kk,,,,,udp,148.241.92.91.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767917018.598655,C89taq2Az6nVmPu6kk,,,,,udp,12.2.1.10.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767917022.216666,C89taq2Az6nVmPu6kk,,,,,udp,12.2.1.10.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767917022.216666,C89taq2Az6nVmPu6kk,,,,,udp,148.241.92.91.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767917025.586638,C89taq2Az6nVmPu6kk,,,,,udp,148.241.92.91.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767917025.586638,C89taq2Az6nVmPu6kk,,,,,udp,12.2.1.10.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767917029.051689,C89taq2Az6nVmPu6kk,,,,,udp,12.2.1.10.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767917029.051689,C89taq2Az6nVmPu6kk,,,,,udp,148.241.92.91.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767917032.514657,C89taq2Az6nVmPu6kk,,,,,udp,148.241.92.91.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767917032.514657,C89taq2Az6nVmPu6kk,,,,,udp,12.2.1.10.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767917035.948839,C89taq2Az6nVmPu6kk,,,,,udp,148.241.92.91.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767917035.948839,C89taq2Az6nVmPu6kk,,,,,udp,12.2.1.10.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767917039.483592,C89taq2Az6nVmPu6kk,,,,,udp,148.241.92.91.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767917039.483592,C89taq2Az6nVmPu6kk,,,,,udp,12.2.1.10.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767917043.146718,C89taq2Az6nVmPu6kk,,,,,udp,148.241.92.91.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767917043.146718,C89taq2Az6nVmPu6kk,,,,,udp,12.2.1.10.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767917046.744665,C89taq2Az6nVmPu6kk,,,,,udp,12.2.1.10.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767917046.744665,C89taq2Az6nVmPu6kk,,,,,udp,148.241.92.91.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767917048.127422,C0k6653uUt19XOYB35,,,,,udp,community.sicherheitstacho.eu,AAAA,,NOERROR,C_INTERNET
1767917048.127438,CIrzxI2HCHfP5Lvf5h,,,,,udp,community.sicherheitstacho.eu,A,['160.44.201.156'],NOERROR,C_INTERNET
1767917050.359671,C89taq2Az6nVmPu6kk,,,,,udp,148.241.92.91.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767917050.359671,C89taq2Az6nVmPu6kk,,,,,udp,12.2.1.10.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767917053.463968,CudGST3XYqcB92yYvf,,,,,udp,community.sicherheitstacho.eu,A,['160.44.201.156'],NOERROR,C_INTERNET
1767917053.463956,Cm8jMz2SNMUhgXrG8l,,,,,udp,community.sicherheitstacho.eu,AAAA,,NOERROR,C_INTERNET
1767917054.195607,C89taq2Az6nVmPu6kk,,,,,udp,12.2.1.10.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767917054.195607,C89taq2Az6nVmPu6kk,,,,,udp,148.241.92.91.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767917055.22781,CIzADn2gZ5qWXtV0h3,,,,,udp,community.sicherheitstacho.eu,AAAA,,NOERROR,C_INTERNET
1767917055.227826,CWPxpV1QKIymu63iYd,,,,,udp,community.sicherheitstacho.eu,A,['160.44.201.156'],NOERROR,C_INTERNET
1767917056.655687,CxaoyK1tGlGHyZCg1j,,,,,udp,community.sicherheitstacho.eu,AAAA,,NOERROR,C_INTERNET
1767917056.655719,CF3hRAubo3Gb2xW36,,,,,udp,community.sicherheitstacho.eu,A,['160.44.201.156'],NOERROR,C_INTERNET
1767917057.759716,C89taq2Az6nVmPu6kk,,,,,udp,148.241.92.91.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767917057.759716,C89taq2Az6nVmPu6kk,,,,,udp,12.2.1.10.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767917061.31666,C89taq2Az6nVmPu6kk,,,,,udp,12.2.1.10.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767917061.31666,C89taq2Az6nVmPu6kk,,,,,udp,148.241.92.91.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767917061.397876,CcAwzL2REzFDoNGbh4,,,,,udp,telemetry.elastic.co,AAAA,['2600:1901:0:2440::'],NOERROR,C_INTERNET
1767917061.397864,C7DgJx2zbGHVj70UB6,,,,,udp,telemetry.elastic.co,A,['34.95.113.255'],NOERROR,C_INTERNET
1767917065.196698,C89taq2Az6nVmPu6kk,,,,,udp,148.241.92.91.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767917065.196698,C89taq2Az6nVmPu6kk,,,,,udp,12.2.1.10.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767917068.796683,C89taq2Az6nVmPu6kk,,,,,udp,12.2.1.10.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767917068.796683,C89taq2Az6nVmPu6kk,,,,,udp,148.241.92.91.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767917072.373618,C89taq2Az6nVmPu6kk,,,,,udp,148.241.92.91.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767917072.373618,C89taq2Az6nVmPu6kk,,,,,udp,12.2.1.10.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767917076.093701,C89taq2Az6nVmPu6kk,,,,,udp,12.2.1.10.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767917076.093701,C89taq2Az6nVmPu6kk,,,,,udp,148.241.92.91.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767917079.75666,C89taq2Az6nVmPu6kk,,,,,udp,12.2.1.10.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767917079.75666,C89taq2Az6nVmPu6kk,,,,,udp,148.241.92.91.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767917083.242662,C89taq2Az6nVmPu6kk,,,,,udp,12.2.1.10.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767917083.242662,C89taq2Az6nVmPu6kk,,,,,udp,148.241.92.91.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767917086.718693,C89taq2Az6nVmPu6kk,,,,,udp,12.2.1.10.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767917086.718693,C89taq2Az6nVmPu6kk,,,,,udp,148.241.92.91.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767917090.128733,C89taq2Az6nVmPu6kk,,,,,udp,12.2.1.10.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
